FIPS,COUNTY,STATE,DISTRICT,POST,NAME,POST2,POST2_NAME,DHQ,GHQ
39003,Allen,OH,1,26,Lima,,,0,0
39039,Defiance,OH,1,27,Defiance,,,0,0
39051,Fulton,OH,1,32,Swanton,,,0,0
39063,Hancock,OH,1,28,Findlay,,,1,0
39065,Hardin,OH,1,,,,,0,0
39069,Henry,OH,1,,,,,0,0
39095,Lucas,OH,1,29,Toledo,,,0,0
39125,Paulding,OH,1,,,,,0,0
39137,Putnam,OH,1,,,,,0,0
39161,Van Wert,OH,1,30,Van Wert,,,0,0
39171,Williams,OH,1,,,,,0,0
39173,Wood,OH,1,31,Bowling Green,,,0,0
39033,Crawford,OH,2,41,Bucyrus,,,1,0
39043,Erie,OH,2,42,Sandusky,47,Milan,0,0
39077,Huron,OH,2,43,Norwalk,,,0,0
39101,Marion,OH,2,44,Marion,,,0,0
39123,Ottawa,OH,2,,,,,0,0
39139,Richland,OH,2,45,Mansfield,,,0,0
39143,Sandusky,OH,2,46,Fremont,,,0,0
39147,Seneca,OH,2,,,,,0,0
39175,Wyandot,OH,2,,,,,0,0
39005,Ashland,OH,3,58,Ashland,,,0,0
39035,Cuyahoga,OH,3,57,Cleveland,,,1,0
39075,Holmes,OH,3,,,,,0,0
39093,Lorain,OH,3,59,Elyria,,,0,0
39103,Medina,OH,3,60,Medina,,,0,0
39151,Stark,OH,3,61,Canton,,,0,0
39153,Summit,OH,3,62,Akron,,,0,0
39169,Wayne,OH,3,63,Wooster,,,0,0
39007,Ashtabula,OH,4,73,Ashtabula,,,0,0
39029,Columbiana,OH,4,71,Lisbon,,,0,0
39055,Geauga,OH,4,72,Chardon,,,0,0
39085,Lake,OH,4,,,,,0,0
39099,Mahoning,OH,4,74,Canfield,,,0,0
39133,Portage,OH,4,75,Ravenna,77,Hiram,0,0
39155,Trumbull,OH,4,76,Warren,,,1,0
39011,Auglaize,OH,5,91,Wapakoneta,,,0,0
39021,Champaign,OH,5,,,,,0,0
39023,Clark,OH,5,87,Springfield,,,0,0
39037,Darke,OH,5,,,,,0,0
39057,Greene,OH,5,88,Xenia,,,0,0
39091,Logan,OH,5,,,,,0,0
39107,Mercer,OH,5,,,,,0,0
39109,Miami,OH,5,89,Piqua,,,1,0
39113,Montgomery,OH,5,90,Dayton,,,0,0
39135,Preble,OH,5,,,,,0,0
39149,Shelby,OH,5,,,,,0,0
39159,Union,OH,5,92,Marysville,,,0,0
39041,Delaware,OH,6,99,Delaware,,,0,0
39045,Fairfield,OH,6,100,Lancaster,,,0,0
39049,Franklin,OH,6,101,Columbus,,,1,1
39083,Knox,OH,6,,,,,0,0
39089,Licking,OH,6,102,Granville,,,0,0
39097,Madison,OH,6,103,West Jefferson,,,0,0
39117,Morrow,OH,6,104,Mount Gilead,,,0,0
39127,Perry,OH,6,,,,,0,0
39129,Pickaway,OH,6,105,Circleville,,,0,0
39013,Belmont,OH,7,117,St. Clairsville,,,0,0
39019,Carroll,OH,7,,,,,0,0
39031,Coshocton,OH,7,,,,,0,0
39059,Guernsey,OH,7,114,Cambridge,,,1,0
39067,Harrison,OH,7,,,,,0,0
39081,Jefferson,OH,7,115,Steubenville,,,0,0
39111,Monroe,OH,7,,,,,0,0
39115,Morgan,OH,7,,,,,0,0
39119,Muskingum,OH,7,116,Zanesville,,,0,0
39121,Noble,OH,7,,,,,0,0
39157,Tuscarawas,OH,7,118,New Philadelphia,,,0,0
39167,Washington,OH,7,119,Marietta,,,0,0
39001,Adams,OH,8,,,,,0,0
39015,Brown,OH,8,131,Georgetown,,,0,0
39017,Butler,OH,8,133,Hamilton,,,0,0
39025,Clermont,OH,8,128,Batavia,,,0,0
39027,Clinton,OH,8,129,Wilmington,,,1,0
39047,Fayette,OH,8,,,,,0,0
39061,Hamilton,OH,8,130,Cincinnati,,,0,0
39071,Highland,OH,8,,,,,0,0
39165,Warren,OH,8,132,Lebanon,,,0,0
39009,Athens,OH,9,146,Athens,,,0,0
39053,Gallia,OH,9,143,Gallipolis,,,0,0
39073,Hocking,OH,9,,,,,0,0
39079,Jackson,OH,9,144,Jackson,,,1,0
39087,Lawrence,OH,9,145,Ironton,,,0,0
39105,Meigs,OH,9,,,,,0,0
39131,Pike,OH,9,,,,,0,0
39141,Ross,OH,9,147,Chillicothe,,,0,0
39145,Scioto,OH,9,148,Portsmouth,,,0,0
39163,Vinton,OH,9,,,,,0,0
39133,Portage,OH,4,77,Hiram,,,0,0
39043,Erie,OH,2,47,Milan,,,0,0
