POST,DISTRICT,RESP,INDIV
26,1,14,20
27,1,9,14
28,1,7,18
29,1,12,28
30,1,8,16
31,1,8,19
32,1,13,21
41,2,15,18
42,2,11,17
43,2,13,18
44,2,13,17
45,2,7,18
46,2,12,17
47,2,8,20
57,3,14,28
58,3,8,17
59,3,17,23
60,3,13,19
61,3,12,23
62,3,12,19
63,3,11,18
71,4,4,17
72,4,10,19
73,4,10,21
74,4,5,19
75,4,11,19
76,4,14,20
77,4,11,20
87,5,14,20
88,5,10,20
89,5,7,19
90,5,12,23
91,5,10,16
92,5,7,15
99,6,13,20
100,6,10,18
101,6,14,26
102,6,6,21
103,6,7,17
104,6,16,19
105,6,8,18
114,7,8,16
115,7,8,16
116,7,14,18
117,7,8,18
118,7,7,19
119,7,14,17
128,8,9,22
129,8,8,19
130,8,18,27
131,8,7,16
132,8,10,22
133,8,4,18
143,9,12,19
144,9,9,18
145,9,10,15
146,9,13,18
147,9,13,21
148,9,3,19
